LapTimeSec,Compound,TrackName,Driver,Team,TireAge,TireAgeSq,RaceLapNumber,TrackTemp,AirTemp,Humidity,WindSpeed,GapToCarAhead,DRS_Available,CircuitLength,NumberOfCorners,RaceID,LapNumber,PitLossSec,TotalRaceLaps,TyreHealth,TyreTemp_C,Psi_T,SlidingProxy,Fz_N,StintNumber
99.049,SOFT,Sakhir,SAI,Ferrari,6,36,3,29.0,23.8,27.0,0.5,1.539,1,5.412,15,2022_Bahrain Grand Prix,3,22.5,57,0.9580628361091176,62.72380025520963,1.0,1.7431687637729507,20871.593671221453,1
99.075,SOFT,Sakhir,HAM,Mercedes,5,25,3,29.0,23.8,27.0,0.5,0.902,1,5.412,15,2022_Bahrain Grand Prix,3,22.5,57,0.9517719051475512,65.65463008274094,1.0,2.6559203188874227,20881.85690321181,1
101.224,SOFT,Sakhir,MAG,Haas F1 Team,3,9,3,29.0,23.8,27.0,0.5,0.769,1,5.412,15,2022_Bahrain Grand Prix,3,22.5,57,0.9535497946468756,64.76984740876767,1.0,2.8183829351196494,20612.847639691827,1
99.473,SOFT,Sakhir,PER,Red Bull Racing,6,36,3,29.0,23.8,27.0,0.5,0.759,1,5.412,15,2022_Bahrain Grand Prix,3,22.5,57,0.9519041579225788,65.48056010877163,1.0,2.4967498615222565,20900.358676543212,1
99.725,SOFT,Sakhir,RUS,Mercedes,6,36,3,29.0,23.8,27.0,0.5,1.054,1,5.412,15,2022_Bahrain Grand Prix,3,22.5,57,0.92406009765026,73.73149323311637,1.0,3.3463695775875344,20855.02937366352,1
99.968,SOFT,Sakhir,GAS,AlphaTauri,6,36,3,29.0,23.8,27.0,0.5,1.3,1,5.412,15,2022_Bahrain Grand Prix,3,22.5,57,1.0,32.487325,1.0,0.4883076890516508,20825.61086992242,1
100.226,SOFT,Sakhir,ALO,Alpine,6,36,3,29.0,23.8,27.0,0.5,1.147,1,5.412,15,2022_Bahrain Grand Prix,3,22.5,57,0.968140888699253,56.745466267828135,1.0,1.354363555420747,20767.897110793365,1
100.248,SOFT,Sakhir,OCO,Alpine,3,9,3,29.0,23.8,27.0,0.5,0.695,1,5.412,15,2022_Bahrain Grand Prix,3,22.5,57,0.9383410852941608,70.19254716695313,1.0,3.302159256148286,20709.93158654902,1
100.664,SOFT,Sakhir,ALB,Williams,3,9,3,29.0,23.8,27.0,0.5,1.903,1,5.412,15,2022_Bahrain Grand Prix,3,22.5,57,0.9335373678582588,71.38695974765957,1.0,2.7247818649663444,20391.161088701123,1
100.618,SOFT,Sakhir,TSU,AlphaTauri,3,9,3,29.0,23.8,27.0,0.5,0.641,1,5.412,15,2022_Bahrain Grand Prix,3,22.5,57,0.9418335431597772,69.16283051059669,1.0,2.5656939903177474,20392.72483608913,1
100.747,SOFT,Sakhir,MSC,Haas F1 Team,3,9,3,29.0,23.8,27.0,0.5,0.723,1,5.412,15,2022_Bahrain Grand Prix,3,22.5,57,0.9484462913326616,66.79526900785255,1.0,2.6890982783836197,20347.43973622879,1
