iter	Passed	Remaining
420	2961	590
421	2968	583
422	2975	576
423	2981	569
424	2988	562
425	2994	555
426	3001	548
427	3007	540
428	3014	534
429	3020	526
430	3026	519
431	3032	512
432	3038	505
433	3043	497
434	3050	490
435	3056	483
436	3063	476
437	3070	469
438	3075	462
439	3082	455
440	3086	447
441	3092	440
442	3100	433
443	3105	426
444	3111	419
445	3116	412
446	3123	405
447	3129	398
448	3135	391
449	3141	383
450	3147	376
451	3152	369
452	3158	362
453	3165	355
454	3172	348
455	3178	341
456	3185	334
457	3190	327
458	3196	320
459	3201	313
460	3207	306
461	3213	299
462	3218	291
463	3224	284
464	3231	278
465	3238	271
466	3244	264
467	3249	256
468	3256	249
469	3262	242
470	3266	235
471	3272	228
472	3280	221
473	3286	214
474	3292	207
475	3297	200
476	3303	193
477	3309	186
478	3315	179
479	3321	172
480	3327	166
481	3332	159
482	3340	152
483	3346	145
484	3352	138
485	3358	131
486	3365	124
487	3371	117
488	3377	110
489	3383	103
490	3388	96
491	3394	89
492	3402	82
493	3408	75
494	3414	68
495	3420	62
496	3426	55
497	3431	48
498	3437	41
499	3443	34
500	3448	27
501	3454	20
502	3460	13
503	3467	6
504	3473	0
