iter	RMSE
129	0.7631368354
130	0.7624847752
131	0.7617946474
132	0.7612704033
133	0.760745739
134	0.7600167395
135	0.759343719
136	0.7585453312
137	0.7578840269
138	0.757116434
139	0.756466687
140	0.7557176113
141	0.7551282618
142	0.7544714282
143	0.7539030252
144	0.753344921
145	0.7526457341
146	0.752094001
147	0.7516812069
148	0.7511664825
149	0.7505479083
150	0.7501084696
151	0.7495303963
152	0.7490207443
153	0.7483971117
154	0.7477312994
155	0.7472842938
156	0.7467509776
157	0.7461911781
158	0.7455852078
159	0.7450029874
160	0.7445751345
161	0.7441254291
162	0.7436370052
163	0.7431134494
164	0.7426654259
165	0.7423583424
166	0.7419692783
167	0.7415462035
168	0.7411182023
169	0.7406748158
170	0.7402604861
171	0.7397539468
172	0.7393995196
173	0.7390478127
174	0.7386872022
175	0.7384130999
176	0.7379567527
177	0.7375077763
178	0.7370095675
179	0.7366246212
180	0.7362029331
181	0.7358485196
182	0.7354805948
183	0.7350673657
184	0.7346394783
185	0.7341600057
186	0.7338440411
187	0.7335485774
188	0.73321075
189	0.7328164045
190	0.7324438825
191	0.7319784691
192	0.7317163419
193	0.7313605986
194	0.7311363344
195	0.7306988515
196	0.7302826119
197	0.7299950677
198	0.7296521252
199	0.7293537748
200	0.7290744164
201	0.7287063261
202	0.7284290588
203	0.7281072299
204	0.7277085677
205	0.727379333
206	0.7269843669
207	0.7267320183
208	0.7264133693
209	0.7261355276
210	0.7257485919
211	0.7254099264
212	0.7250571753
213	0.7248228935
214	0.7244925583
215	0.7242895701
216	0.7239757947
217	0.7236278655
218	0.723351579
219	0.723063397
220	0.7228353666
221	0.7224899965
222	0.7222939916
223	0.7221117624
224	0.7218856853
225	0.7215622385
226	0.7213795635
227	0.7211304091
228	0.7208043803
229	0.7206206696
230	0.720322367
231	0.7200523834
232	0.7197523663
233	0.7193939966
234	0.7192033758
235	0.7189594305
236	0.7187510518
237	0.7185280525
238	0.7181481152
239	0.7177922663
240	0.7175501092
241	0.71725262
242	0.7168800216
243	0.7166821044
244	0.7163853149
245	0.7160648637
246	0.715827367
247	0.7155488388
248	0.7154009513
249	0.7152307685
250	0.7149415613
251	0.7147052865
252	0.71439069
253	0.7141653457
254	0.7139288954
255	0.7137455002
256	0.7135736365
257	0.7132814173
258	0.7130680628
259	0.71282404
260	0.712641817
261	0.7124222013
262	0.7121710213
263	0.7119253237
264	0.7117454158
265	0.7115655398
266	0.7113518301
267	0.7111797074
268	0.7109171689
269	0.7105862623
270	0.7102447977
271	0.7099501623
272	0.7098012373
273	0.7095741005
274	0.7093847391
275	0.7090972402
276	0.7088282668
277	0.7085293683
278	0.7082943352
279	0.7080178319
280	0.7078359846
281	0.7075460397
282	0.7073665758
283	0.7072010349
284	0.7070456892
285	0.7068747018
286	0.7066499294
287	0.7063755213
288	0.7062185907
289	0.7060283956
290	0.705737056
291	0.7055999732
292	0.7054185022
293	0.7052084874
294	0.705037492
295	0.7048995333
296	0.7046386265
297	0.7044481647
298	0.7042570888
299	0.7040385068
300	0.7038146032
301	0.703640487
302	0.7034658489
303	0.7033299772
304	0.7031703182
305	0.7029598072
306	0.7027256623
307	0.7024791651
308	0.7023104708
309	0.7021023459
310	0.7018975975
311	0.7017478238
312	0.7015244033
313	0.7013621775
314	0.7010649701
315	0.7008644999
316	0.7006928097
317	0.7005148648
318	0.7002759455
319	0.7000971786
320	0.6999365113
321	0.6996985662
322	0.6994569021
323	0.6992620734
324	0.6990520121
325	0.6989205257
326	0.6987341393
327	0.6986018784
328	0.698296351
329	0.6981158366
330	0.6979491172
331	0.6978068154
332	0.6976229672
333	0.6973586414
334	0.6971893602
335	0.6969887426
336	0.6968654921
337	0.6966502222
338	0.6965096228
339	0.6963633745
340	0.6961569611
341	0.6959303962
342	0.6958127949
343	0.6956503998
344	0.6954678999
345	0.6953122677
346	0.6951133601
347	0.6949070898
348	0.6947830633
349	0.6946394519
350	0.6945211872
351	0.6943621989
352	0.6941608248
353	0.6940208963
354	0.6939223374
355	0.693685317
356	0.6935380131
357	0.6933347578
358	0.6931697153
359	0.693062921
360	0.6929372091
361	0.6927450986
362	0.6926270172
363	0.6924754693
364	0.6923035098
365	0.6921440273
366	0.6920208969
367	0.6917997833
368	0.6916177628
369	0.6914326862
370	0.6912689755
371	0.6910946706
372	0.690899274
373	0.6907486602
374	0.6906238826
375	0.6904413093
376	0.6902597246
377	0.6901094826
378	0.6899416022
379	0.6897794544
380	0.6896390662
381	0.6894496394
382	0.6893095238
383	0.6891953736
384	0.6890787055
385	0.6889282097
386	0.6887561105
387	0.6886371164
388	0.6885200662
389	0.6883372748
390	0.6881356157
391	0.6879140279
392	0.6877341126
393	0.6875539733
394	0.687327992
395	0.6871697613
396	0.6870218388
397	0.6868413798
398	0.6866831889
399	0.6865222535
400	0.6864152234
401	0.686178232
402	0.6860461351
403	0.6859414902
404	0.6858283009
405	0.68571053
406	0.6855893005
407	0.6854976352
408	0.6853572716
409	0.6852283363
410	0.6850455339
411	0.6849363084
412	0.6847519609
413	0.684616857
414	0.6844573202
415	0.6843163817
416	0.6842056394
417	0.6840490709
418	0.6839079634
419	0.6837982025
420	0.6836871331
421	0.683560744
422	0.6834180593
423	0.6832676639
424	0.6831452512
425	0.6830015763
426	0.6827461424
427	0.6825787785
428	0.6824256895
429	0.6822928413
430	0.6821641769
431	0.6820095305
432	0.6819076628
433	0.681762023
434	0.6816634015
435	0.6815847327
436	0.6814075424
437	0.681282295
438	0.6811259631
439	0.6808667164
440	0.680653236
441	0.6804762084
442	0.68037229
443	0.6802792506
444	0.6801768396
445	0.6799962042
446	0.6797896101
447	0.6796781314
448	0.6795476764
449	0.6795076781
450	0.6793371609
451	0.6791807567
452	0.6790341786
453	0.678902319
454	0.6787458779
455	0.6786643924
456	0.6785229946
457	0.6783455899
458	0.678174154
459	0.6780420962
460	0.6778541612
461	0.6776883275
462	0.6775701812
463	0.6774239445
464	0.6772939988
465	0.6771147423
466	0.6770024053
467	0.6769058627
468	0.6768247316
469	0.6767017115
470	0.6765438158
471	0.6764331101
472	0.6763252687
473	0.6762273998
474	0.6761226736
475	0.6760102548
476	0.6758903744
477	0.6757759107
478	0.6756716226
479	0.6755113424
480	0.6754321512
481	0.6753028692
482	0.6752143715
483	0.6751081815
484	0.6749737156
485	0.674829873
486	0.6747077154
487	0.6745813666
488	0.6744937306
489	0.6743559399
490	0.6742482788
491	0.6741477516
492	0.6739950558
493	0.6738646198
494	0.6737347033
495	0.6736164448
496	0.6735278799
497	0.6733988961
498	0.6732717779
499	0.673220485
500	0.673077037
501	0.672939985
502	0.6727708993
503	0.6726127176
504	0.6724465828
505	0.6723318513
506	0.6722235129
507	0.6719684612
508	0.6718805456
509	0.6717861725
510	0.6716427791
511	0.6715425695
512	0.6713697173
513	0.6712754622
514	0.6711390183
515	0.6709649723
516	0.6708316811
517	0.6706874676
518	0.6705672828
519	0.6704697016
520	0.6703215782
521	0.6702646456
522	0.670074656
523	0.6699300234
524	0.6698215487
525	0.6696378968
526	0.6695521106
527	0.6694650795
528	0.6693326751
529	0.6691566217
530	0.6690566669
531	0.668967735
532	0.6687850522
533	0.6686557318
534	0.6685591173
535	0.6684585521
536	0.6683512839
537	0.6682186793
538	0.6680936634
539	0.6679669954
540	0.6678268429
541	0.6677061004
542	0.6675317723
543	0.667342091
544	0.6672430033
545	0.6671185481
546	0.666984983
547	0.6668476063
548	0.6667463384
549	0.6665702358
550	0.6664528231
551	0.6663289573
552	0.6662264709
553	0.6661032809
554	0.6659554055
555	0.6658362085
556	0.6657330434
557	0.6656507692
558	0.6655321011
559	0.6654703038
560	0.6653954717
561	0.6653344388
562	0.6652031684
563	0.6650600809
564	0.6649433778
565	0.6648464221
566	0.6647210097
567	0.6646259649
568	0.6645454048
569	0.6643889028
570	0.6642681887
571	0.6641839149
572	0.6640471941
573	0.6639426647
574	0.6638493879
575	0.6637381022
576	0.6636523249
577	0.6635556221
578	0.6634305338
579	0.6633114097
580	0.6631834686
581	0.6630909516
582	0.6630292411
583	0.6629417365
584	0.6627912899
585	0.6626927261
586	0.6625855717
587	0.6625133583
588	0.6623659264
589	0.6622905149
590	0.6621940092
591	0.6621257712
592	0.6619685562
593	0.6618558188
594	0.6617043865
595	0.6615717368
596	0.6614395626
597	0.6613532979
598	0.6612717613
599	0.661174143
600	0.6610543673
601	0.6609662042
602	0.6608540165
603	0.6607207197
604	0.6606355668
605	0.6605397294
606	0.6604620406
607	0.6603318963
608	0.6601976038
609	0.6601126583
610	0.660000229
611	0.659884606
612	0.6598023061
613	0.6596740696
614	0.6595690684
615	0.6594789003
616	0.6593419188
617	0.6592680089
618	0.6591050199
619	0.6590390044
620	0.6589060646
621	0.6588114384
622	0.6586645826
623	0.6584999875
624	0.6583536442
625	0.6582394537
626	0.6581737311
627	0.6580839648
628	0.6579402962
629	0.657840893
630	0.657691995
631	0.6576308788
632	0.6575093408
633	0.6574345375
634	0.6572682314
635	0.6571163322
636	0.6570395699
637	0.6569004201
638	0.6568145753
639	0.6567093683
640	0.656569679
641	0.6564607601
642	0.6563960905
643	0.6562941259
644	0.6561511499
645	0.6560156986
646	0.6559263276
647	0.6558489643
648	0.6557798692
649	0.655689663
650	0.6556156934
651	0.6555046629
