Compound,NumStints,RawMedianSlope,PositiveMedianSlope,WeightedMeanSlope
SOFT,511,0.045303812263529204,0.07859984194167924,0.03100751223512408
MEDIUM,1228,0.013675708813636124,0.04957472946678483,0.00029493824233033826
HARD,1562,0.0005465258669452831,0.04031284069315196,-0.006183603706356175
